EmployeeID,First_Name,Surname,StreetAddress,City,State,StateFull,ZipCode,Country,CountryFull,Age,Office,Start_Date,Termination_Date,Voluntary/ Involuntary,Office_Type,Department,Currency,Bonus_pct,Job_title,DOB,level,Salary,Active Status
100001,Patrice,Moore,1427 Buckhannan Avenue,North Syracuse,NY,New York,13212,US,United States,35,NYC,04/05/2009,,,Corporate,Corporate,USD,1,CEO,31417,CSuite,500000,1
100002,David,Rickards,4265 Graystone Lakes,Macon,GA,Georgia,31206,US,United States,49,NYC,04/05/2009,,,Corporate,Corporate,USD,0.2,HR Manager,26127,Manager,70000,1
100003,Grace,Maldonado,1680 Hudson Street,Weehawken,NJ,New Jersey,7087,US,United States,32,NYC,18/05/2009,05/06/2013,Involuntary,Corporate,Marketing,USD,0.15,Graphic Designer,32533,Individual Contributor,77000,0
100004,Justin,Edgin,1262 Limer Street,Rome,GA,Georgia,30165,US,United States,25,Boulder,22/06/2009,16/10/2013,Involuntary,Corporate,Technology,USD,0.5,CTO,35186,CSuite,400000,0
100005,Benjamin,Vargas,2431 Rainbow Road,Santa Ana,CA,California,92705,US,United States,49,NYC,13/07/2009,10/01/2011,Voluntary,Corporate,Customer Service,USD,0.15,Associate Account Manager,26424,Manager,51000,0
100006,Nelson,Grillo,3645 Coolidge Street,North Custer,MT,Montana,59024,US,United States,28,NYC,20/07/2009,11/09/2021,Involuntary,Corporate,Sales,USD,0.15,Account Executive,34141,Individual Contributor,76000,1
100007,Kevin,Rainey,977 Black Oak Hollow Road,Santa Clara,CA,California,95054,US,United States,31,NYC,20/07/2009,11/02/2011,Voluntary,Corporate,Customer Service,USD,0.15,Account Manager,33006,Individual Contributor,56000,0
100008,Melanie,Hurst,2751 Holden Street,San Diego,CA,California,92103,US,United States,38,NYC,27/07/2009,21/03/2012,Involuntary,Corporate,Sales,USD,0.15,Account Executive,30339,Individual Contributor,72000,0
100009,Greg,Boon,4791 Loving Acres Road,Grapevine,TX,Texas,76051,US,United States,29,NYC,27/07/2009,,,Corporate,Sales,USD,0.2,"Director, Sales",33607,Director,74000,1
100010,Frank,Stockdale,1413 Roy Alley,Centennial,CO,Colorado,80111,US,United States,31,NYC,27/07/2009,13/05/2014,Voluntary,Corporate,Customer Service,USD,0.15,Account Manager,32802,Individual Contributor,52000,0
100011,David,Fox,3186 Davis Lane,Denver,CO,Colorado,80239,US,United States,43,NYC,21/09/2009,14/12/2012,Voluntary,Corporate,Sales,USD,0.2,Regional Sales Manager,28415,Manager,80000,0
100012,Roger,Jordan,3823 Heather Sees Way,Tulsa,OK,Oklahoma,74106,US,United States,29,NYC,21/09/2009,17/10/2013,Voluntary,Corporate,Customer Service,USD,0.15,Account Manager,33493,Individual Contributor,52000,0
100013,Edward,Burkhart,1185 Pointe Lane,Fort Lauderdale,FL,Florida,33308,US,United States,37,NYC,28/09/2009,31/10/2012,Involuntary,Corporate,Corporate,USD,0.15,AR Specialist,30637,Individual Contributor,60000,0
100014,Jacqueline,Hernandez,1676 Hidden Meadow Drive,Crystal,ND,North Dakota,58222,US,United States,23,NYC,28/09/2009,,,Corporate,Corporate,USD,0.15,AP Specialist,35732,Individual Contributor,67000,1
100015,James,Adams,2762 Kennedy Court,Bedford,MA,Massachusetts,1730,US,United States,44,NYC,05/10/2009,11/03/2011,Involuntary,Corporate,Sales,USD,0.2,Sales Manager,28090,Manager,71000,0
100016,Michael,Conner,4149 Ventura Drive,Santa Cruz,CA,California,95060,US,United States,37,NYC,05/10/2009,06/11/2019,Involuntary,Corporate,Sales,USD,0.3,"SVP, Sales",30751,SVP,253000,0
100017,Denise,Matthew,4201 Deer Haven Drive,Greenville,SC,South Carolina,29601,US,United States,53,NYC,12/10/2009,30/05/2012,Voluntary,Corporate,Corporate,USD,0.15,FP&A Analyst,24733,Individual Contributor,63000,0
100018,Virginia,Ferguson,3024 Traders Alley,Maysville,MO,Missouri,64469,US,United States,28,NYC,12/10/2009,,,Corporate,Customer Service,USD,0.3,"SVP, Customer Service",34140,SVP,198000,1
100019,Louis,Powell,328 Monroe Street,Houston,TX,Texas,77026,US,United States,46,NYC,19/10/2009,18/02/2013,Voluntary,Corporate,Corporate,USD,0.15,Coordinator,27335,Individual Contributor,68000,0
100020,Douglas,Mason,1510 Wood Street,Franklinton,LA,Louisiana,70438,US,United States,46,NYC,19/10/2009,,,Corporate,Sales,USD,0.15,Account Executive,27507,Individual Contributor,79000,1
100021,Carmen,Stewart,3367 Ryder Avenue,Everett,WA,Washington,98201,US,United States,47,NYC,26/10/2009,,,Corporate,Customer Service,USD,0.15,Account Manager,26971,Individual Contributor,51000,1
100022,Thelma,Buckley,2054 Bicetown Road,New York,NY,New York,10013,US,United States,24,NYC,26/10/2009,17/09/2013,Involuntary,Corporate,Customer Service,USD,0.15,Account Manager,35316,Individual Contributor,57000,0
100023,Jeffrey,Hagans,3307 Hershell Hollow Road,Tukwila,WA,Washington,98168,US,United States,52,NYC,26/10/2009,06/06/2014,Involuntary,Corporate,Customer Service,USD,0.15,Senior Account Manager,25203,Senior,53000,0
100024,Jessica,Hall,2010 Collins Avenue,Westerville,OH,Ohio,43081,US,United States,49,NYC,26/10/2009,,,Corporate,Customer Service,USD,0.15,Account Manager,26436,Individual Contributor,54000,1
100025,Cindy,McDonnell,818 Broadcast Drive,Washington,VA,Virginia,20200,US,United States,43,NYC,02/11/2009,10/07/2012,Involuntary,Corporate,Customer Service,USD,0.15,Account Manager,28413,Individual Contributor,50000,0
100026,Heike,Aguilar,622 Ingram Street,Dayton,OH,Ohio,45402,US,United States,29,NYC,02/11/2009,09/03/2010,Voluntary,Corporate,Sales,USD,0.15,Account Executive,33681,Individual Contributor,79000,0
100027,Jennifer,Vanderpool,4560 Southern Avenue,Urbandale,IA,Iowa,50322,US,United States,32,NYC,16/11/2009,03/05/2011,Involuntary,Corporate,Customer Service,USD,0.15,Senior Account Manager,32568,Senior,54000,0
100028,Deidre,Goss,3685 Nickel Road,Pasadena,CA,California,91101,US,United States,53,NYC,23/11/2009,13/05/2014,Involuntary,Corporate,Customer Service,USD,0.2,"Manager, Customer Service",24670,Manager,52000,0
100029,Calvin,Wright,4658 Water Street,San Francisco,CA,California,94107,US,United States,33,NYC,30/11/2009,27/06/2014,Voluntary,Corporate,Customer Service,USD,0.15,Senior Account Manager,32091,Senior,58000,0
100030,Eric,Edmundson,1649 Essex Court,Burlington,VT,Vermont,5401,US,United States,28,NYC,30/11/2009,27/06/2014,Voluntary,Corporate,Sales,USD,0.15,Sales Team Lead,34084,Senior,74000,0
